Desarrollo en Bootsrap / Angular / Larabel,6 días left,"Es un proyecto que ya cuenta con backend, solo falta agregar unas funcionalidades como filtros y diseño de front, se requiere alguien que tenga experiencia y disponibilidad para reuniones remotas.",137.85999999999999,"[""AngularJS"", ""Bootstrap"", ""HTML"", ""HTML5"", ""Diseño de sitios web""]"
Montar servidor verneMQ en aws,6 días left,Montar una instancia de verneMQ en AWS y configurar certificado de seguridad,251.32,"[""Amazon Web Services"", ""Linux"", ""MQTT""]"
PRECISO QUE MI NOMBRE Y BIOGRAFÍA FIGURE EN LA PÁGINA QUIEN.NET,6 días left,FIGURACIÓN EN PÁGINA [iniciar sesión para ver URL],19.52,"["".NET"", ""Administración de bases de datos"", ""Web Hosting"", ""Web Page Writer"", ""Diseño de sitios web""]"
Mente Millonaria,6 días left,Necesito un sitio web nuevo. Necesito que dieñen y creen una página de inicio.,134.2,"[""Instalación de blogs"", ""Diseño gráfico"", ""PHP"", ""Diseño de sitios web""]"
Videos para futbolistas - Highlight,6 días left,"Necesito  videos( highlight) de futbolistas, enviaremos entre 4 y 8 videos de partidos de fútbol y habría que de ahí sacar el video, necesitamos que sea profesional ya que es para enviar a clubes profesionales.  Necesito precio unitario pero haríamos entre 20-30 videos por año.  La duración del video debe ser entre 5 y 7 minutos.",82.96,"[""After Effects"", ""Edición de video"", ""Producción de video"", ""Servicios de video"", ""Videografía""]"
Asistente virtual,6 días left,"Busco a una persona para que me ayude con proyectos personales como estudios de mercado, contabilidad básica (conocimiento de excel y gusto por las matemáticas es suficiente), manejo de redes sociales, investigación, preferente pero no obligatorio manejo del inglés, con buena ortografía, ocasionalmente trato con personas por ventas o negociaciones.  En general, u...",3.66/hr,"[""Entrada de datos"", ""Procesamiento de datos"", ""Inglés (Estados Unidos)"", ""Excel"", ""Asistente virtual""]"
LOGO (distintivo de mi Empresa) y un portafolio de presentacion,6 días left,"Rubro inmobiliario. Entregar un servicio integral e innovador. Home Staging, etc.",75.64,"[""Identidad corporativa"", ""Diseño gráfico"", ""Illustrator"", ""Diseño de logotipos"", ""Diseño con Photoshop""]"
Proyecto para Red Social,6 días left,"en esta red social solo podrán postear,  los usuarios podrán calificar, subir fotos, videos, cursos, donde se puede monetizar, no es necesario un chat para comunicación entre usuarios, se podrá seguir, calificar, invitar. agregar tienda de productos o servicios como en facebook (ejemplo).",977.22,"[""CSS"", ""Diseño gráfico"", ""HTML"", ""PHP"", ""Diseño de sitios web""]"
Necesito editor para canal de youtube,6 días left,"Es para mi canal de youtube. Tipo de videos: blog, gameplay, videorreacciones Si sabes crear miniaturas mejor todavía Se busca edición más bien austera, sin muchos efectos especiales, más importa el contenido que el envoltorio así que tal vez se puede sacar 1 video en 1 o 2 hs de trabajo (tal vez menos), eso no quiere decir que haya poco trabajo ya que la idea es...",9.76/hr,"[""Edición de video""]"
Publicar Epatugiro,6 días left,"Se requiere publicar en Google Play un App que ya está listo, no requiere ningún desarrollo, con la cuenta de desarrollador que indicaré, y verificar que quede publicado correctamente.",24.4,"[""Android"", ""Desarrollo de apps móviles""]"
Test de penetración a la aplicación web BADSTORE con la herramienta OWASP ZAP en Mac,6 días left,"Lo que se requiere es más asesoría en el paso a paso, no precisamente que alguien realice esta actividad por mí.   Laboratorio: Test de penetración a la aplicación web BADSTORE con la herramienta OWASP ZAP en Mac  Realización de un test de penetración a la aplicación web BADSTORE.  Para la realización de este laboratorio primero tendr&...",251.32,"[""Seguridad informática""]"
REDACTOR DE LIBROS DE INVESTIGACIÓN,6 días left,REDACTOR DE LIBROS DE INVESTIGACIÓN  Objetivo del trabajo: Garantizar la publicación de un libro de investigación en una editorial indexada en una base de datos con revisión de pares externos.  Área: Ciencias de la salud (Medicina).   El pago sería en tres hitos: 1.	Cuando el libro haya sido terminado y enviado a la editorial. 2.	Cuando la editorial haya c...,50.019999999999996,"[""Redacción de artículos"", ""Redacción de libros"", ""Redacción de investigaciones"", ""Investigación científica"", ""Escritura técnica""]"
Estrategia de marketing efectiva,6 días left,"Estoy buscando a alguien capaz de crear ,diseñar ,promover estratégicamente el contenido publicitario",125.66,"[""Diseño de folletos"", ""Identidad corporativa"", ""Diseño gráfico"", ""Diseño de logotipos"", ""Marketing""]"
desarrollo de aplicacion en tiempo real con sitema de cobro,6 días left,necesito una aplicacion en la que pueda cargar inventarios diversos y arrojar avisos en promociones,588.04,"[""Android"", ""iPad"", ""iPhone"", ""Desarrollo de apps móviles"", ""Objective C""]"
Traducción de un libro (Frances - Español),6 días left,"Busco un traductor para traducir un libro de 400 páginas. Esta escrito en frances, busco la traducción al español.  Favor de incluir muestras de trabajos similares. Gracias.",37.82,"[""Francés"", ""Español"", ""Español (España)"", ""Traducción""]"
RPA Developer - Simple Project,6 días left,"Proyecto que descargue un archivo CSV de una pagina web y luego lo pase a un formato a excel, para posteriormente enviarlo como archivo adjunto.",67.1,"[""AI/RPA development"", ""Excel"", ""HTML"", ""PHP""]"
SOAP + Certificado Digital .NET,6 días left,Aplicación para Envío fichero XML sobre Internet. Protocolo: HTTPS.  Entorno Windows Server 2012 R2  Mensajes: Web Service con SOAP 1.1 modo Document.  Certificado: La  aplicación  que  envíe  información  a  los  servicios  web  deberá autenticarse con certificado electrónico de cliente. El uso de los servicios requiere tener instalado un certifica...,229.35999999999999,"["".NET"", ""Programación en C#""]"
"Realizo transcripciones ""GRATIS"" en español (audio a texto, imagen a texto, etc)",6 días left,"Soy nuevo en la transcripción de textos, es por eso que a manera de presentación brindo mi servicio gratuitamente; de preferencia textos cortos, el tiempo de entrega dependerá de cuan largo sea el texto a transcribir.  Por esta vez mi pago será una review o comentario tuyo sobre el servicio, gracias.",9.76-30.5,"[""Mecanografía"", ""Entrada de datos"", ""Español"", ""Transcripción"", ""Traducción""]"
Creador de app movil por 100 dolares,6 días left,Quiero que construyan una app movil de acuerdo a mis preferencias.,9.76-30.5,"[""Android"", ""iPad"", ""iPhone"", ""Desarrollo de apps móviles"", ""PHP""]"
Asesoria para abrir puertos en router de todo tipo,6 días left,"al contratar nuestro servicio, necesitamos abrir 1 puerto específico de cualquier router. Hasta ahora no hemos podido hacerlo en los routers de 4G. Necesitamos a alguien que nos haga una asesoría y con quién podamos contar para llamar ante emergencias.",9.76-30.5,"[""Seguridad informática"", ""CSS"", ""Electrónica"", ""Administración de redes"", ""Inalámbrico""]"
Video con Croma Key,6 días left,"Tengo que hacer un trabajo utilizando la técnica croma key, necesito a alguien que utilice bien After Effects. Ponganse en contacto conmigo si están interesados, los archivos no los puedo adjuntar porque es material de un trabajo.",9.76-36.6,"[""After Effects"", ""Animación"", ""Edición de video"", ""Servicios de video"", ""Videografía""]"
Busco escritor fantasma en Español para proyecto a largo plazo.,6 días left,"Busco escritor con un gran poder de inventiva y creatividad para dar forma a un proyecto relacionado con predicciones astrologicas. No es necesario saber de astrología, nosotros facilitaríamos materiales concretos para aprendizaje de la personalidad básica de cada signo. 12 signos, a 2 folios por signo = 24 folios cada entrega (mínimo 900 palabras por signo). Necesitamo...",21.96,"[""Reescritura de artículos"", ""Redacción de artículos"", ""Redacción de contenidos"", ""Redacción"", ""Redacción por encargo""]"
Adaptar diseño a web en Code Igniter,6 días left,"Tengo una web de 4 páginas, funcionando en Code Igniter. Tengo el diseño nuevo hecho, en Sketch.  Necesito maquetador/programador que adapte el diseño a la programación.",26.84,"[""CSS"", ""HTML"", ""PHP"", ""Diseño de sitios web""]"
Sitio web  para un ranking de un servicio asociado a la estética y artículos (contenido informativo),6 días left,"Hola busco alguien pueda realizar un sitio web que informa ranking de un servicios como por ejemplo: [iniciar sesión para ver URL]  En en caso del diseño y contenido es asociado al rubro de la estética, el sitio web solo debe tener una pagina inicial un link de contacto y otro de para blog a contenidos, lo importante es la primera pagina que muestre un ranking administrable, c...",152.5,"[""Diseño gráfico"", ""HTML"", ""PHP"", ""SEO"", ""Diseño de sitios web""]"
Atencion al Cliente telefonica para ecommerce,6 días left,Buscamos VA o persona con experiencia en atención al cliente para fomentar la venta en una tienda online.  Los clientes ya conocen el producto y se trata de hacer llamadas telefónicas salientes a los clientes usando un script y anotar los comentarios en el CRM del proyecto.  El coste/precio es mensual para un mínimo de 10 horas semanales. Por favor especifique en la oferta el ...,190.32,"[""Customer Retention"", ""Servicios al cliente"", ""Ventas"", ""Telemarketing"", ""Asistente virtual""]"
rbsegurosapp,6 días left,Quiero que me desarrollen una aplicación para mi pequeña empresa.  Soy un agente de seguros y me gustaría que la gente que descargue mi app pueda cotizar un seguro o acceder a información de su póliza,741.76,"[""Diseño gráfico"", ""Marketing por Internet"", ""Marketing""]"
