LinkedIn ads campaña,6 días left,"Elaborar una campaña de LinkedIn efectiva y con posibilidades de crecimiento, para una agencia de empleo.",130.54,"[""Publicidad"", ""Linkedin"", ""Marketing""]"
Busco un logo para mi emprendimiento,6 días left,es un grupo enfocado en apuestas con amigos,23.18,"[""Diseño gráfico"", ""Illustrator"", ""Diseño de logotipos"", ""Photoshop"", ""Diseño con Photoshop""]"
transcriptor de audio y video.,6 días left,"yo transcribiré audio y video en word, pdf, excel, etc. solo escritura. ya sea podcast, entrevistas u otra transcripción.",17.08/hr,"[""Audio Editing"", ""PDF"", ""Escritura técnica"", ""Transcripción"", ""Word""]"
Edificio Maritza,6 días left,Nesecito el diseño de mi plano en 3d ya q solo cuenta diseño en 2d,153.72,"[""Animación 3D"", ""Modelado 3D"", ""Renderización 3D"", ""Identidad corporativa"", ""Diseño gráfico""]"
HACER UNA PAGINA WEB EN WORDPRESS,6 días left,Necesito hacer una página web. Ya tengo el dominio y el hosting: 1. En wordpress 2. La página puede ser desarrollada con una plantilla o con elementor o con cualquier builder pero el diseño debe ser impecable (si hace falta un diseñador gráfico y un fotógrafo se buscan) 3. Prepararla para ser monetizada con adsense (con todas las paginas que exige Google y...,1088.24,"[""Diseño gráfico"", ""HTML"", ""PHP"", ""Diseño de sitios web"", ""WordPress""]"
Construir un sitio web de intermediación similar a freelancer.con,6 días left,"Un sitio web en el que se pueda registrar , enviar solicitudes de servicio, y que estas generen notificaciones a proveedores previamente inscritos, y que les permita  ingresar a la plataforma para que puedan responder a la Solicitud.",1789.74,"[""Diseño gráfico"", ""HTML"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
Casa de cambio virtual,6 días left,"Necesito un programador PHP, para un proyecto de casa de cambio virtual, de 3 componentes. De preferencia que tenga proyectos similares como experiencia. De preferencia en el Perù.",501.42,"[""Diseño gráfico"", ""HTML"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
VoC CONAMOR,6 días left,Voluntarios por el Cambio (VoC) Observatorio Asociado a CONAMOR Consejo Nacional de Movimientos Republicanos - República Dominicana App emisor de noticias dinámicas,631.96,"[""Android"", ""HTML5"", ""iPhone"", ""Desarrollo de apps móviles"", ""Objective C""]"
Necesito un App Devoloper,6 días left,"Necesitamos diseñar una app que muestre efemerides planetarias (tabla y mapa dinámico de las posiciones de los planetas en el sistema solar), nosotros les brindamos las tablas con los datos de las posiciones. Tiene que ser gratuita y que incluya algunos extras que se puedan pagar. somos una escuela de psicologia, filosofía y astrología, gracias",771.04,"[""Android"", ""Diseño gráfico"", ""HTML5"", ""iPhone"", ""Desarrollo de apps móviles""]"
Aplicacion para computadora,6 días left,Necesito un programa de busqueda de fotos mediante hashtag y la postee con una descripcion.,95.16,"[""Desarrollador de aplicaciones""]"
